id,name,district_id,active
267,"Định An",34,1
268,"Thị trấn Tri Tôn",53,1
269," An Linh",40,1
270,"Lai Hưng",28,1
271,"Định Hiệp",34,1
272,"Hội Nghĩa",16,1
273,"Đất Cuốc",22,1
274,"An Long",40,1
275,"Long Nguyên",28,1
276,"Phường An Phú",46,1
277,"Hiếu Liêm",22,1
278," Định Thành",34,1
279,"Phú Chánh",16,1
280,"An Thái",40,1
281,"PhườngAn Thạnh",46,1
282,"Tân Hưng",28,1
283,"Lạc An ",22,1
284,"Long Hòa",34,1
285,"Tân Vĩnh Hiệp",16,1
286," Trừ Văn Thố",28,1
287,"Phước Hòa",40,1
288,"PhườngBình Chuẩn",46,1
289,"Tân Bình",22,1
290," Long Tân",34,1
291,"Thạnh Hội",16,1
292,"Phước Sang",40,1
293,"PhườngBình Hòa",46,1
294,"Tân Định",22,1
295,"Minh Tân",34,1
296,"Vĩnh Tân",16,1
297,"Tân An",8,1
298,"Tam Lập",40,1
299,"PhườngBình Nhâm",46,1
300,"Tân Lập",22,1
301,"Minh Hòa",34,1
302,"PhườngKhánh Bình",16,1
303,"Phước Lộc",8,1
304,"PhườngHưng Định",46,1
305,"Tân Hiệp",40,1
306," Minh Thạnh",34,1
307,"Tân Thiện",8,1
308,"PhườngTân Hiệp",16,1
309,"Thanh An",34,1
310,"PhườngLái Thiêu",46,1
311,"Tân Long",40,1
312,"Thanh Tuyền",34,1
313,"PhườngTân Phước Khánh",16,1
314,"Mũi Né",11,1
315,"Bình Tân",8,1
316,"Vĩnh Hòa",40,1
317,"PhườngThuận Giao",46,1
318,"Hàm Tiến",11,1
319,"Tân Phước",8,1
320,"PhườngVĩnh Phú",46,1
321," Thường Tân",40,1
322,"Thị trấn Liên Hương",20,1
323,"Thị trấn Chợ Lầu ",25,1
324,"Tân Tiến",8,1
325,"Xuân An",11,1
326," An Sơn",46,1
327,"Thị trấn Lương Sơn",25,1
328,"Thị trấn Phan Rí Cửa",20,1
329,"Phú Hài",11,1
330,"Tân Hải",8,1
331,"Thị trấn Ma Lâm",33,1
332,"Phan Lâm",25,1
333,"Phan Dũng",20,1
334,"Thị trấn Phú Long",33,1
335,"Tân Bình",8,1
336," Phú Thủy",11,1
337,"Thị trấn Thuận Nam",35,1
338,"Phong Phú",20,1
339,"Phan Sơn",25,1
340," Hàm Kiệm",35,1
341,"Đa Mi.",33,1
342,"Phú Tài",11,1
343,"Phú Lạc",20,1
344,"Phan Điền",25,1
345,"Thị trấn Lạc Tánh",41,1
346,"Hàm Thạnh",35,1
347,"Phú Trinh",11,1
348,"Đông Tiến.",33,1
349,"Bình An",25,1
350," Măng Tố",41,1
351,"Vĩnh Hảo",20,1
352,"Hàm Minh",35,1
353,"La Dạ",33,1
354,"Thanh Hải",11,1
355," Đức Phú",41,1
356,"Vĩnh Tân",20,1
357,"Phan Hòa",25,1
358," Bình Hưng",11,1
359,"Tân Thành",35,1
