id,name,new_name,distance,ward_id,district_id,province_id,created_at,updated_at,deleted_at
52098,30 Tháng 4,Đường 30 Tháng 4,Đoạn từ đường Cách Mạng Tháng 8 đến ngã năm Biên Hùng (giáp đường Hưng Đạo Vương),NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52098,30 Tháng 4,Đường 30 Tháng 4,Đoạn từ ngã năm Biên Hùng đến Vườn Mít (giáp đường Hưng Đạo Vương đến đường Phạm Văn Thuận),NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52119,Bùi Hữu Nghĩa (Tỉnh lộ 16 cũ),Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ cầu Rạch Sỏi đến cầu Ông Tiếp,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52119,Bùi Hữu Nghĩa (Tỉnh lộ 16 cũ),Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ Công an phường Bửu Hòa đến đường Nguyễn Thị Tồn (giáp ranh giới phường Hóa An),NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52119,Bùi Hữu Nghĩa (Tỉnh lộ 16 cũ),Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ đường Huỳnh Mẫn Đạt đến cầu Rạch Sỏi,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52119,Bùi Hữu Nghĩa (Tỉnh lộ 16 cũ),Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ đường Nguyễn Thị Tồn đến đường Huỳnh Mẫn Đạt,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52119,Bùi Hữu Nghĩa (Tỉnh lộ 16 cũ),Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ giáp ranh giới tỉnh Bình Dương đến đường Nguyễn Tri Phương,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52119,Bùi Hữu Nghĩa (Tỉnh lộ 16 cũ),Đường Bùi Hữu Nghĩa (đường tỉnh 16 cũ),Đoạn từ Nguyễn Tri Phương đến đường đi vào Công an phường Bửu Hòa,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52120,Bùi Trọng Nghĩa,Đường Bùi Trọng Nghĩa,Đoạn từ đường Đồng Khởi đến ngã 3 cây xăng khu phố 3 - phường Trảng Dài,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52120,Bùi Trọng Nghĩa,Đường Bùi Trọng Nghĩa,Đoạn từ ngã ba cây xăng khu phố 3 đến Trường Tiểu học Trảng Dài,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52121,Bùi Văn Hòa (Quốc lộ 15 nối dài),Đường Bùi Văn Hòa (Quốc lộ 15 nối dài),,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52121,Bùi Văn Hòa (Quốc lộ 15 nối dài),Đường Bùi Văn Hòa (Quốc lộ 15 nối dài),Đoạn từ ngã ba Mũi Tàu (giáp đường Hà Huy Giáp) đến đường Nguyễn Văn Trị,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52122,Cách Mạng Tháng 8,Đường Cách Mạng Tháng 8,Đoạn từ đường Nguyễn Văn Trị đến đường Phan Chu Trinh,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52122,Cách Mạng Tháng 8,Đường Cách Mạng Tháng 8,Đoạn từ đường Phan Chu Trinh đến đường Nguyễn Ái Quốc,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52123,Châu Văn Lồng,Đường Châu Văn Lồng,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52144,Dương Bạch Mai,Đường Dương Bạch Mai,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52145,Dương Tử Giang,Đường Dương Tử Giang,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52146,Đặng Đức Thuật,Đường Đặng Đức Thuật (từ đường Đồng Khởi đến đường Đoàn Văn Cự),,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52147,Đặng Nguyên,Đường Đặng Nguyên,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52148,Điểu Xiển,Đường Điểu Xiển,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52165,Đoàn Văn Cự,Đường Đoàn Văn Cự,Đoạn từ Công ty VMEP đến ranh Bệnh viện Đa khoa Đồng Nai,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52165,Đoàn Văn Cự,Đường Đoàn Văn Cự,Đoạn từ Phạm Văn Thuận đến Công ty VMEP,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52166,Đồng Khởi,Đường Đồng Khởi,Đoạn từ cầu Đồng Khởi đến đường Nguyễn Văn Tiên,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52166,Đồng Khởi,Đường Đồng Khởi,Đoạn từ đường Nguyễn Văn Tiên đến giáp đường vào Công ty Trấn Biên,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52166,Đồng Khởi,Đường Đồng Khởi,Đoạn từ đường Phạm Văn Khoai đến cầu Đồng Khởi,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52166,Đồng Khởi,Đường Đồng Khởi,Đoạn từ đường vào Công ty Trấn Biên đến giáp ranh huyện Vĩnh Cửu,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52166,Đồng Khởi,Đường Đồng Khởi,Đoạn từ Xa lộ Hà Nội đến đường Phạm Văn Khoai,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52167,Hà Huy Giáp,Đường Hà Huy Giáp,Đoạn từ cầu Rạch Cát đến đường Võ Thị Sáu,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52167,Hà Huy Giáp,Đường Hà Huy Giáp,Đoạn từ đường Võ Thị Sáu đến ngã năm Biên Hùng (giáp đường Hưng Đạo Vương),NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52168,Hồ Hòa,Đường Hồ Hòa,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52169,Hồ Văn Đại,Đường Hồ Văn Đại,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52185,Hồ Văn Leo,Đường Hồ Văn Leo,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52186,Hồ Văn Thể,Đường Hồ Văn Thể,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52187,Hoàng Bá Bích,Đường Hoàng Bá Bích,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52188,Hoàng Minh Châu,Đường Hoàng Minh Châu,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52189,Hưng Đạo Vương,Đường Hưng Đạo Vương,Đoạn từ đường Phan Đình Phùng đến ngã năm Biên Hùng,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52189,Hưng Đạo Vương,Đường Hưng Đạo Vương,Đoạn từ ngã năm Biên Hùng đến Ga Biên Hòa,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52205,Huỳnh Văn Lũy,Đường Huỳnh Văn Lũy,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52206,Huỳnh Văn Nghệ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Ngô Thì Nhậm đến đường Võ Trường Toản,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52206,Huỳnh Văn Nghệ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Nguyễn Ái Quốc đến đường Nguyễn Bỉnh Khiêm,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52206,Huỳnh Văn Nghệ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Nguyễn Bỉnh Khiêm đến đường Ngô Thì Nhậm,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52206,Huỳnh Văn Nghệ,Đường Huỳnh Văn Nghệ,Đoạn từ đường Võ Trường Toản đến đường ngã ba Gạc Nai,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
