type,appraise_title,appraise_point,asset_title,asset_point,description,difference_point,appraise_percent,asset_percent,adjust_percent
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,GẦN TRỤC ĐƯỜNG CHÍNH,100,THUẬN LỢI HƠN,20,100,120,-17
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,XA TRỤC ĐƯỜNG CHÍNH,80,TƯƠNG ĐỒNG,0,100,100,0
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,THUẬN LỢI HƠN,20,100,120,-17
KINH_DOANH,KHU VỰC THUẬN LỢI KINH DOANH,100,KHU VỰC CÓ THỂ KINH DOANH,90,KÉM THUẬN LỢI HƠN,-10,100,90,11
KINH_DOANH,KHU VỰC THUẬN LỢI KINH DOANH,100,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KÉM THUẬN LỢI HƠN,-20,100,80,25
KINH_DOANH,KHU VỰC CÓ THỂ KINH DOANH,90,KHU VỰC THUẬN LỢI KINH DOANH,100,THUẬN LỢI HƠN,10,100,110,-9
KINH_DOANH,KHU VỰC CÓ THỂ KINH DOANH,90,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KÉM THUẬN LỢI HƠN,-10,100,90,11
KINH_DOANH,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KHU VỰC THUẬN LỢI KINH DOANH,100,THUẬN LỢI HƠN,20,100,120,-17
KINH_DOANH,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KHU VỰC CÓ THỂ KINH DOANH,90,THUẬN LỢI HƠN,10,100,110,-9
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,KÉM THUẬN LỢI HƠN,-10,100,90,11
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,KÉM THUẬN LỢI HƠN,-10,100,90,11
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,KÉM THUẬN LỢI HƠN,-20,100,80,25
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,THUẬN LỢI HƠN,10,100,110,-9
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,TƯƠNG ĐỒNG,0,100,100,0
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,KÉM THUẬN LỢI HƠN,-10,100,90,11
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,THUẬN LỢI HƠN,10,100,110,-9
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,TƯƠNG ĐỒNG,0,100,100,0
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,KÉM THUẬN LỢI HƠN,-10,100,90,11
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,THUẬN LỢI HƠN,20,100,120,-17
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,THUẬN LỢI HƠN,10,100,110,-9
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,THUẬN LỢI HƠN,10,100,110,-9
