IDTSSS,land_type_purpose,total_area,estimation_value,price_land,TotalAmount,UnitPrice
2079,61,504,200000,"32,810,000","4,639,200,000","6,589,773"
2089,57,90,3300000,"91,910,000","1,791,135,000","9,199,461"
2089,81,104.7,250000,"61,410,000","1,791,135,000","9,199,461"
2094,58,100,6000000,"146,510,000","4,089,960,000","14,659,355"
2094,81,179,210000,"88,610,000","4,089,960,000","14,659,355"
2095,81,244,210000,"99,510,000","2,430,000,000","9,959,016"
2105,58,80,2600000,"71,110,000","1,964,965,344","7,119,440"
2105,81,196,170000,"46,810,000","1,964,965,344","7,119,440"
2110,57,72,14000000,"524,610,000","3,777,800,000","52,469,444"
2130,57,85,4200000,"135,210,000","1,150,000,000","13,529,412"
2140,57,165.8,2100000,"200,810,000","3,330,800,000","20,089,264"
2141,57,287.5,2100000,"168,610,000","4,850,000,000","16,869,565"
2142,57,117.5,2100000,"217,510,000","2,556,785,425","21,759,876"
2148,58,294.5,2300000,"156,110,000","4,600,000,000","15,619,694"
2161,57,102.5,225000,"57,710,000","1,712,597,000","5,779,943"
2172,58,60,1700000,"92,010,000","1,753,424,000","9,209,160"
2172,61,130.4,140000,"76,410,000","1,753,424,000","9,209,160"
2174,61,65000,38000,"2,110,000","14,250,000,000","219,231"
2176,61,1317.9,140000,"32,810,000","4,335,000,000","3,289,324"
2223,81,66.5,220000,"195,710,000","3,164,070,000","27,159,399"
2223,58,50,7800000,"271,510,000","3,164,070,000","27,159,399"
2240,58,100,2000000,"40,610,000","1,528,130,000","4,069,587"
2240,81,275.5,140000,"22,010,000","1,528,130,000","4,069,587"
2251,58,278,1500000,"59,810,000","1,665,000,000","5,989,209"
2266,57,66,10000000,"265,110,000","1,750,300,000","26,519,697"
2278,61,2897,60000,"12,510,000","3,650,000,000","1,259,924"
2309,81,177,180000,"56,410,000","1,000,000,000","5,649,718"
2310,57,110.8,9000000,"230,510,000","2,555,000,000","23,059,567"
2319,61,101.3,315000,"173,010,000","3,716,752,900","23,042,485"
2335,62,197.8,410000,"100,910,000","1,997,650,000","10,099,343"
2387,58,50,2600000,"154,610,000","1,562,400,000","15,469,307"
2387,81,51,200000,"130,610,000","1,562,400,000","15,469,307"
